Id,Predicted
6198,545.6737368715948
6417,687.4615329786146
7054,568.9774548634563
9628,708.1733624702889
10283,806.9986575889052
10660,365.706764849843
12778,425.2224916278534
15267,747.2431390137624
17648,378.57686884824506
20377,820.9420530665154
21710,497.44822871355717
23832,836.1744179527913
24693,937.3672652960869
28920,448.0552915384946
29889,670.339947591501
30186,466.59250384659043
30596,565.4333118739412
30815,548.8221344413499
30958,390.80783863790145
31401,504.41744848118105
32452,1059.5784827196962
33885,596.5254334778571
34012,488.825205359742
37794,806.968237142475
38858,505.5258767968882
38961,292.45932614344844
39912,491.7899821343138
43686,572.5378769344834
43792,298.94240108472206
44405,498.0921085291182
44821,480.56507684435553
45083,472.46835450741
45315,364.61656752016177
47093,587.5748138981176
47190,583.9166897185132
47549,712.7250895600486
49333,664.528072122094
50669,456.980719112762
53294,510.0366151492243
54019,426.30029289132233
54558,521.3172976346099
55170,509.90279328316825
55846,423.16168622180874
56337,631.9402237089928
57502,448.5387082934001
57569,826.9458962107176
57913,377.89981258588966
58662,296.3060932534705
59198,944.4924878872366
61513,684.6610047303733
61994,642.9748927454646
62781,417.0356684952204
64209,378.94894683821474
64488,735.4743131634856
65236,447.73895845384874
65342,558.5399877520666
65456,528.6465764306877
65538,589.3981310443318
65800,500.3614593046766
66330,751.5577343825844
66579,428.4774996244253
66906,372.3950894410548
66959,467.5841221256575
67340,571.7526076504416
68042,700.8649438323783
68620,447.48661462382097
69087,818.4977841090802
69533,763.7114385093513
72898,616.2837300690007
73805,641.3874828071805
74298,651.5483489263756
75201,872.9352090326734
75558,312.9120798939558
75894,467.89503594045726
76792,959.8059628046692
77189,570.6705850091846
77584,689.8385004814193
77701,529.1238214841026
78468,414.2274844673521
78971,411.82847534308496
79796,350.3585679190993
80814,282.46206853597266
81229,667.959589242743
82441,957.6816404555561
82636,697.509343160034
83555,794.6917834097915
83977,895.5450956091518
84186,718.5033212289869
84473,676.1996437218579
84580,335.8953794826565
85317,431.168694806114
85634,361.48347173304217
86257,824.7479242953927
86985,678.7023234972407
87323,453.5993887590171
87982,655.752675993938
90422,567.7303077712037
91193,728.0263257889258
91525,571.7195640426839
91661,745.0479037774169
92804,901.6448071985883
95530,395.0764666023702
96821,418.82760204568876
97618,432.9717383358067
97856,527.0653194243025
99334,545.514206012657
99434,628.7543081751207
100172,409.4576219069384
100819,745.6451244644841
101363,391.5041208471882
102100,449.5877359617544
102729,781.603640671009
102882,863.445944370729
103056,373.833162558652
103257,477.9522977807869
104655,377.40196142556874
105210,502.3377536722256
105590,433.8285961534923
105672,520.9482026621529
105943,532.277252783628
106141,490.92923814565063
106240,371.8045273531445
106674,761.0583093909802
107086,584.0026414400053
107183,369.00140441885475
107744,305.41274887964056
108244,370.1862918446589
108764,813.997157056032
108911,396.84637738884464
110277,894.2028473413886
111171,636.4567781963053
112119,935.7773651511268
112989,380.887580358043
113081,1019.7207353877367
113247,600.935087596499
115804,585.7419539800619
116337,695.2611219450772
116809,290.01349009155985
116843,422.0094442997783
116988,488.9064916589562
117056,738.029048739158
117830,450.0315451698168
118399,326.7763973685882
118901,464.4185319160155
119000,948.3084838853522
120029,596.8666372264781
120293,685.1127143934754
121484,363.3973913833619
121684,402.256303980104
122726,868.0014601350608
122886,407.8027581560091
123002,638.9689675045058
125530,707.1479000031668
127385,786.4004601713463
127718,458.0738763697034
128341,815.8105162067275
128685,470.83962531733675
129263,356.4446738198909
129485,415.165998527587
129544,356.09559924508767
130129,765.0423786389415
130352,385.18766972822954
130755,716.9400497310122
133565,984.844701639013
134715,360.32200229211605
135441,472.4804780695156
135751,523.9315247447364
136352,328.88266526803125
136502,531.7285551170451
137171,557.2347521594056
137715,398.0098219640994
137768,962.6536818675708
138209,340.7154500694873
138247,676.378151206505
138880,430.0700527667816
139164,373.3926523275719
139196,424.4415053258997
139264,554.7929994095399
139887,566.7306433435222
140048,481.0031938538396
140525,570.1317940719089
142419,518.1756347239915
142578,421.6762664334185
142882,658.548754390026
144416,282.0274593609836
144518,492.2225797089502
145738,361.0478417976077
146893,552.3076493709805
147072,945.6245401469837
148059,495.84521402065394
148450,607.3509063202587
